ID,celebraty_Name,Gender,profession,best_movie,image,details
1,"Shah Rukh Khan",M,Actor,"Don 2","https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg","Shahrukh Khan was born on 2 November 1965 in New Delhi, India. He married Gauri Khan on 25 October 1991. They have three children, son Aryan Khan (b. 1997), son AbRam (b.2013) and daughter Suhana (b. 2000). Khan started out his career by appearing in several television serials during 1988-1990. He ..."
2,"Aamir Khan",M,Actor,"Taare Zameen Par","https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his ..."
3,"Salman Khan",M,Actor,Sultan,"https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY209_CR7,0,140,209_AL_.jpg","Born on December 27, 1965 Salman Khan is the son of the legendary writer Salim Khan, who penned many super-hits in the yesteryear's like Sholay (1975), Deewaar (1975), and Don (1978). Salman started his acting carrier in 1988 by doing a supporting role in the movie Biwi Ho To Aisi (1988). The ..."
4,"Katrina Kaif",F,Actress,"Zindagi Na Milegi Dobara","https://m.media-amazon.com/images/M/MV5BYjFjZGMwNWEtYWYwZi00NjdiLTk3NDMtOGVlOTkwOWFhYjE0XkEyXkFqcGdeQXVyMTA0NTY2NTIz._V1_UY209_CR34,0,140,209_AL_.jpg","Katrina Kaif is one of eight siblings, 7 girls and 1 boy, from a mother who is a Caucasian of British Nationality, and a father who was formerly from Kashmir, India, but who has since acquired British citizenship. Her mother is now re-settled in Chennai (formerly known as Madras), the Capital of ..."
5,"Kareena Kapoor",F,Actress,"Jab We Met","https://m.media-amazon.com/images/M/MV5BMjAyNjM4NTAwN15BMl5BanBnXkFtZTcwNDkxNzQzNg@@._V1_UY209_CR87,0,140,209_AL_.jpg","Kareena was born to Sindhi-speaking Babita (nee Shivdasani) and Punjabi-speaking Randhir Kapoor in Bombay, India. She has an elder sister, Karisma.She is born in a family that have been actors for generations, including her paternal great-grandfather, Prithviraj Kapoor; her grandfather, Raj Kapoor;..."
6,"Karisma Kapoor",F,Actress,"Dil To Pagal Hai","https://m.media-amazon.com/images/M/MV5BMzY4NTkxMzc3OF5BMl5BanBnXkFtZTgwMTc1MzY3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg","Born into Bombay filmdom's legendary Kapoor clan, Karisma Kapoor made her film debut with Prem Qaidi (1991) opposite Harish. Her next big hit was Anari (1993) and during this time she made news with a fight with her Andaz Apna Apna (1994) co-star, actress Raveena Tandon. She had a series of hit ..."
7,"Hrithik Roshan",M,Actor,"Super 30","https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX140_CR0,0,140,209_AL_.jpg","Hrithik Roshan is an Indian actor, born on 10th January 1974, well known globally for his versatile roles, unmatchable dancing skills and attractive looks.After having appeared in films as a child actor in the 1980s, Roshan made his film debut in a leading role in Kaho Naa... Pyaar Hai (2000) for ..."
8,"Priyanka Chopra",F,Actress,Baywatch,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY209_CR70,0,140,209_AL_.jpg","Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; ..."
9,"Amitabh Bachchan",M,Actor,Black,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg","Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But ..."
10,"Ranbir Kapoor",M,Actor,Rockstar,"https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor. Grandnephew of actors Shashi Kapoor, Jennifer Kendal, Shammi Kapoor, Geeta Bali; cousin of actresses Kareena Kapoor, Karisma Kapoor.Belongs to the fourth generation of highly prestigious and considered ..."
