--------------------------------------------------------------------------------
Process Logger : Wed Apr 29 04:07:21 2020
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.21484375}
{'name': 'Registry', 'username': None, 'pid': 96, 'vms': 10.06640625}
{'name': 'ReimageApp.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 104, 'vms': 1.58984375}
{'name': 'TeamViewer.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 224, 'vms': 24.6484375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 300, 'vms': 2.69140625}
{'name': 'smss.exe', 'username': None, 'pid': 384, 'vms': 1.1328125}
{'name': 'csrss.exe', 'username': None, 'pid': 620, 'vms': 1.7109375}
{'name': 'ReiSystem.exe', 'username': None, 'pid': 632, 'vms': 6.734375}
{'name': 'wininit.exe', 'username': None, 'pid': 732, 'vms': 1.5}
{'name': 'svchost.exe', 'username': None, 'pid': 764, 'vms': 1.69140625}
{'name': 'services.exe', 'username': None, 'pid': 804, 'vms': 5.5}
{'name': 'lsass.exe', 'username': None, 'pid': 812, 'vms': 7.83984375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 848, 'vms': 1.87109375}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 872, 'vms': 13.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 936, 'vms': 0.95703125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 960, 'vms': 1.60546875}
{'name': 'svchost.exe', 'username': None, 'pid': 992, 'vms': 14.83984375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1000, 'vms': 25.2421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1048, 'vms': 9.734375}
{'name': 'svchost.exe', 'username': None, 'pid': 1084, 'vms': 5.0}
{'name': 'svchost.exe', 'username': None, 'pid': 1108, 'vms': 2.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1176, 'vms': 3.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 1200, 'vms': 38.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 1344, 'vms': 1.88671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1376, 'vms': 2.5234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1392, 'vms': 2.03515625}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 1412, 'vms': 10.42578125}
{'name': 'svchost.exe', 'username': None, 'pid': 1440, 'vms': 6.12109375}
{'name': 'svchost.exe', 'username': None, 'pid': 1512, 'vms': 5.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 1544, 'vms': 2.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1584, 'vms': 1.4921875}
{'name': 'NisSrv.exe', 'username': None, 'pid': 1604, 'vms': 6.59375}
{'name': 'svchost.exe', 'username': None, 'pid': 1692, 'vms': 2.84765625}
{'name': 'svchost.exe', 'username': None, 'pid': 1720, 'vms': 13.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 1792, 'vms': 5.23828125}
{'name': 'svchost.exe', 'username': None, 'pid': 1820, 'vms': 1.2890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1892, 'vms': 2.1640625}
{'name': 'atiesrxx.exe', 'username': None, 'pid': 1912, 'vms': 1.37890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1996, 'vms': 4.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2004, 'vms': 7.9921875}
{'name': 'conhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2028, 'vms': 6.36328125}
{'name': 'SearchUI.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2032, 'vms': 129.91796875}
{'name': 'svchost.exe', 'username': None, 'pid': 2056, 'vms': 1.9453125}
{'name': 'Memory Compression', 'username': None, 'pid': 2112, 'vms': 1.55078125}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2148, 'vms': 47.54296875}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2152, 'vms': 27.265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2172, 'vms': 36.32421875}
{'name': 'svchost.exe', 'username': None, 'pid': 2180, 'vms': 1.9921875}
{'name': 'python.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2196, 'vms': 16.58984375}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2232, 'vms': 2.359375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2264, 'vms': 113.01953125}
{'name': 'svchost.exe', 'username': None, 'pid': 2280, 'vms': 1.80078125}
{'name': 'svchost.exe', 'username': None, 'pid': 2288, 'vms': 1.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 2312, 'vms': 3.11328125}
{'name': 'HPWMISVC.exe', 'username': None, 'pid': 2376, 'vms': 1.6484375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2468, 'vms': 4.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 2484, 'vms': 15.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 2492, 'vms': 1.62890625}
{'name': 'svchost.exe', 'username': None, 'pid': 2620, 'vms': 2.359375}
{'name': 'svchost.exe', 'username': None, 'pid': 2676, 'vms': 3.953125}
{'name': 'dllhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2704, 'vms': 4.04296875}
{'name': 'RtkAudioService64.exe', 'username': None, 'pid': 2752, 'vms': 2.1640625}
{'name': 'svchost.exe', 'username': None, 'pid': 2808, 'vms': 7.1640625}
{'name': 'HelpPane.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2864, 'vms': 4.14453125}
{'name': 'RtkNGUI64.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 2872, 'vms': 7.8984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3012, 'vms': 1.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 3020, 'vms': 2.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 3116, 'vms': 6.09375}
{'name': 'conhost.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 3188, 'vms': 7.3671875}
{'name': 'svchost.exe', 'username': None, 'pid': 3192, 'vms': 1.33984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3244, 'vms': 2.66796875}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 3308, 'vms': 505.921875}
{'name': 'spoolsv.exe', 'username': None, 'pid': 3352, 'vms': 5.73828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3396, 'vms': 4.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3424, 'vms': 7.84765625}
{'name': 'jupyter-notebook.exe', 'username': 'DESKTOP-1FS3UFH\\hp', 'pid': 3440, 'vms': 0.8984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3456, 'vms': 1.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 3572, 'vms': 2.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 3580, 'vms': 1.68359375}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 3632, 'vms': 55.26171875}
{'name': 'svchost.exe', 'username': None, 'pid': 3676, 'vms': 1.8125}
{'name': 'FNPLicensingService64.exe', 'username': None, 'pid': 3684, 'vms': 1.94921875}
